name,description,link
System Anomaly Detection via Deep Log Analysis,Using deep learning to detect anomalies in system logs.,https://devpost.com/software/system-anomaly-detection-via-deep-log-analysis
Image-to-Text Generative Adversarial Network,generative adversarial network that generates plausible images of objects from detailed text descriptions.,https://devpost.com/software/image-to-text-generative-adversarial-network
Graph Convolutional Reinforcement Learning,Reinforcement learning is an important tool for models to adapt to their environments. This project implements graph convolution reinforcement learning as a solution to produce cooperative agents.,https://devpost.com/software/graph-convolutional-reinforcement-learning
Team Wendy's,Captioning images using a CNN and Transformers,https://devpost.com/software/team-wendy-s
Using GCNs for Single-Cell Classification,Using Graph Convolutional Networks for Single-Cell Classification,https://devpost.com/software/using-gcns-for-single-cell-classification
Bach in Black: Music Style Transfer,Our project idea is music style transfer. The goal is to create a model that can take in as input a song from one genre of music and output the same song in a different genre.,https://devpost.com/software/bach-in-black-music-style-transfer
Using Rotational Bounding Box for Zebra Crossing Detection,"In this project, we want to utilize the ability of deep learning with object detection that involves identifying traffic lanes in digital photographs.",https://devpost.com/software/using-bounding-box-for-traffic-lane-detection
Seinfeld-bot,Deep learning based joke teller,https://devpost.com/software/seinfeld-bot
Emotionally-Aware Chatbot,A conversational chatbot that can detect the user’s emotions and respond accordingly,https://devpost.com/software/emotion-aware-chatbot
Chatbot,An Unsupervised Approach to a Chatbot,https://devpost.com/software/chatbot-nfvk0j
Chat Buddy,"Our plan is to produce an eloquent, sparking conversationalist of a chatbot to replace the antiquated concept of 'human friends'.",https://devpost.com/software/sigma-jmo873
ohmnist,Creating a model that classifies resistors to their resistance value based on their color bands,https://devpost.com/software/ohmnist
Hand Drawn Sketch Identifier,Identify sketches,https://devpost.com/software/hand-drawn-sketch-identifier
MusicVAE: MIDI Music Generation,We are exploring VAEs for generating realistic music clips.,https://devpost.com/software/musicvae-midi-music-generation
Advanced Tetris Bot,"Finding an optimization strategy to play the game called Jstris, a game is an adaptation of tetris with some additional rules such as an ability to attack other players or techniques such as T-spin.",https://devpost.com/software/advanced-tetris-bot
No 2 Iceberg,Determining using satellite radar data whether an object in the water is a ship or an iceberg,https://devpost.com/software/no-2-no2
Model Architecture,Captioning and classifying architectural images,https://devpost.com/software/model-architecture
Binarized Neural Networks,Neural Networks with Binary Weights and Activations at Runtime,https://devpost.com/software/binarized-neural-networks
CNN RNN N Body Solver,Architecture and novel solution to attempt to solve the n-body problem via CNN and RNN prediction,https://devpost.com/software/cnn-rnn-n-body-solver
End-to-End Object Detection of Transformers,"The goal of this project is to put the paper ""End-to-End Object Detection of Transformers"" into practice.",https://devpost.com/software/end-to-end-object-detection-of-transformers
Trix with Pix,An implementation of Pix2Pix that creates facades from blueprints,https://devpost.com/software/pix2pix-colorizing-landscapes
Segmenting exons and introns from DNA sequences,We explore different deep learning architectures to segment DNA sequence with nucleotide-level resolution.,https://devpost.com/software/intron-exon-labeling
BoneyBoney,Implement self-attention network to identify body parts from bone x-ray images.,https://devpost.com/software/bonessss
Using Neural Networks to Predict Fantasy Football Scores,Eli Shea and Zach Huang,https://devpost.com/software/using-convolutional-neural-networks-to-classify-nfl-bets
Traffic Sign CNN Classifier,Traffic Sign classification using a Convolutional Neural Network,https://devpost.com/software/traffic-sign-cnn-classifier
CipherBusters,Automatically busting classical ciphers 👻,https://devpost.com/software/cipherbusters
CNN You See What I See: Interpreting Deep Learning Models,Using Concept Activation Vectors to understand how deep learning models learn to classify images,https://devpost.com/software/cnn-you-see-what-i-see-interpreting-deep-learning-models
LSTM Based Poems Writing Style Recognition Analysis,Build a Long short-term memory (LSTM) network model that can find and reveal the right poet given a part of a poem,https://devpost.com/software/servicemesh-improvement
ImagineDim,A deep learning model to estimate dimension of objects in language,https://devpost.com/software/imaginedim
ESRDEM: Enhanced Super-resolution of DEM,Super Resolution of Digital Elevation Models of the Canadian Shields generated using CNNs.,https://devpost.com/software/esrdem-enhanced-super-resolution-of-dem
Optimizing Neural ODEs for Web Traffic Forecasting,Want to predict stocks? weather? traffic? Predict temporal datasets with our new Neural ODE - GRU-D architecture,https://devpost.com/software/neural-diff
Related Domain Experience Replay (ReDER),"Using Dueling Double DQN to train the model on multiple similar domains, and transferring experience we created a model that can be used to train on multiple games of similar genre.",https://devpost.com/software/mid-diff
Contrastive Self-Supervised Image Classification with SimCLR,Training an image classifier without using labels by building a model that can generate labels needed for training from the images themselves!,https://devpost.com/software/contrastive-self-supervised-image-classification
Artificial Unintelligence,Intelligently Unintelligent #learningdeeply,https://devpost.com/software/artificial-unintelligence
Implementing rNVP to learn distributions,We look to implement real-value non-volume preserving transformations (https://arxiv.org/pdf/1605.08803.pdf) to learn distribution parameters through maximum likelihood.,https://devpost.com/software/implementing-rnvp-to-learn-distributions
Predicting Pipe Flow With Neural Networks,Simulating pipe flow using convolution and auto encoders much more efficiently than FEM!,https://devpost.com/software/predicting-pipe-flow-with-neural-networks
x,x,https://devpost.com/software/detecting-fake-gan-images-with-co-occurrence-matrices-cnns
Detecting Suicidal Intent in Tweets Using a Time-Aware LSTM,We are detecting suicidal intent in tweets using a time-aware transformer based model. This incorporates both the tweet itself and past history of a user's tweets.,https://devpost.com/software/detecting-suicidal-intent-in-tweets-using-a-time-aware-lstm
