name,description,link
explore-your-tinder,A web application visualizing Tinder user data.,https://devpost.com/software/explore-your-tinder
LeapFit,Get your physiotherapy exercises right. Get all your moves right. Be a smoove criminal!,https://devpost.com/software/leapfit
WhatNow?,"Wouldn’t it be nice, to have an app, where you just have to specify how much time you have, and it finds the most suitable events, adventures and travel destinations reachable?",https://devpost.com/software/whatnow-l3ma1o
Greenav,Improve your daily commute while reducing CO2 footprint. With Greenav you will get the best deal both for you and the planet - and it is all in one App!,https://devpost.com/software/greenav
[REDACTED],Anonymize Easy,https://devpost.com/software/redacted-7u90to
Surprise Me,"By bringing together different interfaces and matching parameters such as time, money and activity, we free people from their daily routine and make it super easy for them to go on a new adventure.",https://devpost.com/software/surprise-me-547lym
Turi,Providing tourists with sustainable mobility whilst also solving city-scale infrastructure challenges,https://devpost.com/software/turi
park.me,"The idea is to make an app proposing parking positions in the realtime depending on traffic, availability of parking places and geoposition",https://devpost.com/software/park-me-07ozn3
Unitedx,A pain-free way to schedule a friend meet-up,https://devpost.com/software/unitedx-q5jfbo
Yeahlow,The heartbeat of your city. Now.,https://devpost.com/software/yeahlow
Logi intelligent assistant,Make mouse great again,https://devpost.com/software/logi-intelligent-assistant
FACESCAPE,FaceScape defines your face as a new interaction dimension and combines it with traditional input devices (such as mouse and keyboard) to offer a more productive interaction with digital devices.,https://devpost.com/software/facescape
Save The Penguins,Fill The World With Penguins,https://devpost.com/software/save-the-penguins-9mlxo5
gozero,Starting a movement towards a network of zero-emission cities. Empowering people to live a net-zero carbon life.,https://devpost.com/software/movement-zero
Carbon Consciousness,Create consciousness about your carbon footprint by walking what you have been overspending,https://devpost.com/software/carbon-challenge-2n5x7m
SBB Surprise,We want people to discover Switzerland by train and we want them to do it in a way that doesn't leave them feeling robbed. With SBB Surprise we are able to recommend the perfect trip for any user.,https://devpost.com/software/hackzurich-vje93m
Haxxeta cleaner city,Use data to optimize routes for cleaning machines.,https://devpost.com/software/haxxeta-cleaner-city-7qzmna
Carbonite,Capture and securely store legally admissible copies of time-stamped media and content on the web.,https://devpost.com/software/carbonite
Carbon Scan,Know your footprint.,https://devpost.com/software/carbon-scan
Wavability,Digitalize your greatest input device,https://devpost.com/software/hackzurich2019_logi
PenGo,Reduce your carbon footprint by earning points with the Pengo app. #SaveThePenguins,https://devpost.com/software/pengo
Super Surprise Trip,Get on a surprising trip with an unknown destination tailored to you!,https://devpost.com/software/super-surprise-trip
customized_news_delivery,customized hot news for investors,https://devpost.com/software/customized_news_delivery
Advisio,Advisio combines rates customers portfolios with ESG scores and weights them against their interests,https://devpost.com/software/advisio
SBB Surprise,Surprise yourself with your next adventure at a discount,https://devpost.com/software/sbb-surprise-6jopi9
Legislatory,"We believe that lawyers should focus on their core work - practicing law. Using data mining and NLP, we built a platform that analyses current Swiss law being made and integrates seamlessly into life",https://devpost.com/software/legislatory
Wall-E 2.0 - AI-driven Garbage Analysis,Cleaner cities through AI,https://devpost.com/software/wall-e-2-0-ai-driven-garbage-analysis
Zuripark,Find the best available parking spot near your destination,https://devpost.com/software/zuripark
COORE the planet,Reduce the carbon output while traveling and win prices and money!,https://devpost.com/software/coore-the-planet
Dream Engine,"The global job market more competitive than ever, whilst job candidates continue to develop their skills",https://devpost.com/software/dream-engine-ueny2a
Mouse bindings for CVAT,Mouse bindings to facilitate semantic annotation for Computer Vision datasets,https://devpost.com/software/mouse-bindings-for-annotation-of-computer-vision-datasets
EasyTrip,"Everyone love traveling. But how much time do you spend for a well-prepared trip? Two hours, half day? What else if I tell you can do it within 1 minute! And you have the whole week planned!",https://devpost.com/software/easytrip-yr5maj
SavEat!,Shop and cook and in the most climate friendly way by comparing ingredients across supermarkets,https://devpost.com/software/saveat
CarbonLeague,"A creative, fun and effective way to save the planet by reducing and offsetting carbon emissions.",https://devpost.com/software/carbonleague
Greentastic,"Find a greentastic way of transport! Combine C02 emissions, price, duration and calorie scores to get routing recommendations. Customize your own profile and get statistics of your trip history",https://devpost.com/software/greentastic
Travel Footprint Estimator,Estime you carbon footprint based on Google Timeline (GPS trajectory) data,https://devpost.com/software/travel-footprint-estimator
My waddling friend,A virtual penguin to help you assess the impact of your choices!,https://devpost.com/software/my-waddling-friend
the-vindicators,A simple yet powerful tool to support carbon-aware grocery choices.,https://devpost.com/software/the-vindicators
Bank_x,Customize news feed powered by state of the art ai solution,https://devpost.com/software/bank_x
CleanPath,"A web service for predicting and visualizing cleanliness in a city based on previous event, weather, day characteristics, and vision data.",https://devpost.com/software/team_garbage
sCredit,sCredit turns daily routine of a finTech employee a piece of cake making clients more aware of the fluctuations happening at the investment market.,https://devpost.com/software/creditsuisse-5eq2tn
ECO2.0,Transparent global emission tracking,https://devpost.com/software/eco2-0-lne42d
"""SB-Be Crazy!"" (SBB Surprise)","Crazier the surprise, crazier the place and crazier the price!",https://devpost.com/software/sb-be-crazy-sbb-surprise-dza6ef
Greenvest,How to invest money into earth 2.0,https://devpost.com/software/greenvest
PLANTree,Planting trees for a carbon neutral future: land owners and can offer their land and environmentalists can plant trees there. We need to work pro-actively to not only reduce but also neutralise CO2,https://devpost.com/software/hackzurich2019-d6l0mj
StepByStep,Lower your carbon footprint by choosing eco-friendly alternatives while browsing.,https://devpost.com/software/stepbystep
Influenzer,Gets to you before the flu,https://devpost.com/software/hackzurich2019
trainAI,It's going to be a safe ride. We use machine learning to validate the GPS position of field devices and guide technicians to the exact position of faulty devices on train tracks.,https://devpost.com/software/trainai
Climate impact quiz,Cute penguin tests your knowledge on his habitat and the climate and assesses your personal impact.,https://devpost.com/software/hackzurich-penguins-saviors-2fbtkn
E-Pick,Our idea is to make our planet cleaner. We stimulate citizens to be active and help keeping the city clean.,https://devpost.com/software/e-pick
book++,read with style,https://devpost.com/software/book-4a8gvy
FlashDev,Smart tool to detect fatigue and stress of the coder in order to improve and help the coder to adapt to the heavy workload and schedule through some automated actions.,https://devpost.com/software/flashdev
SoundBoard,Make your keyboard fun and accesible again!,https://devpost.com/software/soundboard
wydr,expand the potential of your photos!,https://devpost.com/software/wydr-jn5bei
Smart Foodie,Smart Realtime Grocery Assistant,https://devpost.com/software/smart-foodie
Usgang,Find venues for nights out with friends based on actual travel time and not just distance,https://devpost.com/software/swissup
